investigation	investigation#	investigation+N+SG
laymen	laymen#	laymen+N+SG
area	area#	area+N+SG
churches	church^s#	church+N+PL
interest	interest#	interest+N+SG
support	support#	support+N+SG
project	project#	project+N+SG
graduates	graduate^s#	graduate+N+PL
months	month^s#	month+N+PL
apprentices	apprentice^s#	apprentice+N+PL
churches	church^s#	church+N+PL
motions	motion^s#	motion+N+PL
defense	defense#	defense+N+SG
attorneys	attorney^s#	attorney+N+PL
insurance	insurance#	insurance+N+SG
fraud	fraud#	fraud+N+SG
trial	trial#	trial+N+SG
Denials	denial^s#	denial+N+PL
motions	motion^s#	motion+N+PL
dismissal	dismissal#	dismissal+N+SG
continuance	continuance#	continuance+N+SG
mistrial	mistrial#	mistrial+N+SG
trial	trial#	trial+N+SG
acquittal	acquittal#	acquittal+N+SG
striking	striking#	striking+N+SG
testimony	testimony#	testimony+N+SG
verdict	verdict#	verdict+N+SG
motions	motion^s#	motion+N+PL
dismissal	dismissal#	dismissal+N+SG
mass	mas^s#	mas+N+PL
trials	trial^s#	trial+N+PL
courts	court^s#	court+N+PL
person	person#	person+N+SG
conspiracy	conspiracy#	conspiracy+N+SG
conspirators	conspirator^s#	conspirator+N+PL
Attorney	attorney#	attorney+N+SG
behalf	behalf#	behalf+N+SG
defendant	defendant#	defendant+N+SG
evidence	evidence#	evidence+N+SG
conspiracy	conspiracy#	conspiracy+N+SG
matter	matter#	matter+N+SG
jury	jury#	jury+N+SG
proof	proof#	proof+N+SG
conspiracy	conspiracy#	conspiracy+N+SG
mails	mail^s#	mail+N+PL
prosecutor	prosecutor#	prosecutor+N+SG
defendant	defendant#	defendant+N+SG
mails	mail^s#	mail+N+PL
evidence	evidence#	evidence+N+SG
conspiracy	conspiracy#	conspiracy+N+SG
mails	mail^s#	mail+N+PL
afternoon	afternoon#	afternoon+N+SG
defense	defense#	defense+N+SG
attorneys	attorney^s#	attorney+N+PL
presentation	presentation#	presentation+N+SG
cases	cas^s#	cas+N+PL
statements	statement^s#	statement+N+PL
government	government#	government+N+SG
witnesses	witness^s#	witness+N+PL
case	case#	case+N+SG
distinction	distinction#	distinction+N+SG
team	team#	team+N+SG
clubs	club^s#	club+N+PL
spring	spring#	spring+N+SG
exhibition	exhibition#	exhibition+N+SG
decision	decision#	decision+N+SG
score	score#	score+N+SG
Indications	indication^s#	indication+N+PL
top	top#	top+N+SG
victory	victory#	victory+N+SG
draught	draught#	draught+N+SG
advantage	advantage#	advantage+N+SG
frames	frame^s#	frame+N+PL
righthander	righthander#	righthander+N+SG
middle	middle#	middle+N+SG
plans	plan^s#	plan+N+PL
drive	drive#	drive+N+SG
pennant	pennant#	pennant+N+SG
hits	hit^s#	hit+N+PL
hurler	hurler#	hurler+N+SG
contest	contest#	contest+N+SG
batters	batter^s#	batter+N+PL
deadlock	deadlock#	deadlock+N+SG
homer	homer#	homer+N+SG
solo	solo#	solo+N+SG
blast	blast#	blast+N+SG
game	game#	game+N+SG
runs	run^s#	run+N+PL
victory	victory#	victory+N+SG
starts	start^s#	start+N+PL
walk	walk#	walk+N+SG
Catcher	catcher#	catcher+N+SG
throw	throw#	throw+N+SG
effort	effort#	effort+N+SG
dirt	dirt#	dirt+N+SG
catcher	catcher#	catcher+N+SG
middle	middle#	middle+N+SG
run	run#	run+N+SG
Rookie	rookie#	rookie+N+SG
southpaw	southpaw#	southpaw+N+SG
start	start#	start+N+SG
tally	tally#	tally+N+SG
walk	walk#	walk+N+SG
baseman	baseman#	baseman+N+SG
pitch	pitch#	pitch+N+SG
single	single#	single+N+SG
glove	glove#	glove+N+SG
center	center#	center+N+SG
plate	plate#	plate+N+SG
powderpuff	powderpuff#	powderpuff+N+SG
fashion	fashion#	fashion+N+SG
blows	blow^s#	blow+N+PL
offerings	offering^s#	offering+N+PL
pitchers	pitcher^s#	pitcher+N+PL
doubles	double^s#	double+N+PL
pair	pair#	pair+N+SG
mound	mound#	mound+N+SG
chores	chore^s#	chore+N+PL
club	club#	club+N+SG
game	game#	game+N+SG
customers	customer^s#	customer+N+PL
hits	hit^s#	hit+N+PL
runs	run^s#	run+N+PL
top	top#	top+N+SG
fall	fall#	fall+N+SG
hits	hit^s#	hit+N+PL
appearance	appearance#	appearance+N+SG
triumph	triumph#	triumph+N+SG
safeties	safety^s#	safety+N+PL
frames	frame^s#	frame+N+PL
load	load#	load+N+SG
trouble	trouble#	trouble+N+SG
double	double#	double+N+SG
night	night#	night+N+SG
blast	blast#	blast+N+SG
fence	fence#	fence+N+SG
feet	feet#	feet+N+SG
right	right#	right+N+SG
team	team#	team+N+SG
spring	spring#	spring+N+SG
base	base#	base+N+SG
balls	ball^s#	ball+N+PL
bunt	bunt#	bunt+N+SG
attempt	attempt#	attempt+N+SG
grass	gras^s#	gras+N+PL
pitches	pitch^s#	pitch+N+PL
contest	contest#	contest+N+SG
run	run#	run+N+SG
inning	inning#	inning+N+SG
pair	pair#	pair+N+SG
hits	hit^s#	hit+N+PL
center	center#	center+N+SG
single	single#	single+N+SG
right	right#	right+N+SG
pitch	pitch#	pitch+N+SG
dirt	dirt#	dirt+N+SG
front	front#	front+N+SG
plate	plate#	plate+N+SG
pair	pair#	pair+N+SG
tallies	tally^s#	tally+N+PL
hits	hit^s#	hit+N+PL
hole	hole#	hole+N+SG
rally	rally#	rally+N+SG
shot	shot#	shot+N+SG
glove	glove#	glove+N+SG
single	single#	single+N+SG
ball	ball#	ball+N+SG
baseman	baseman#	baseman+N+SG
head	head#	head+N+SG
error	error#	error+N+SG
double	double#	double+N+SG
center	center#	center+N+SG
runners	runner^s#	runner+N+PL
blow	blow#	blow+N+SG
triple	triple#	triple+N+SG
play	play#	play+N+SG
rundown	rundown#	rundown+N+SG
scoring	scoring#	scoring+N+SG
walk	walk#	walk+N+SG
batter	batter#	batter+N+SG
toss	tos^s#	tos+N+PL
feet	feet#	feet+N+SG
scoreboard	scoreboard#	scoreboard+N+SG
center	center#	center+N+SG
ball	ball#	ball+N+SG
chance	chance#	chance+N+SG
hit	hit#	hit+N+SG
play	play#	play+N+SG
homer	homer#	homer+N+SG
wall	wall#	wall+N+SG
center	center#	center+N+SG
streak	streak#	streak+N+SG
days	day^s#	day+N+PL
expense	expense#	expense+N+SG
champion	champion#	champion+N+SG
night	night#	night+N+SG
game	game#	game+N+SG
test	test#	test+N+SG
afternoon	afternoon#	afternoon+N+SG
flavor	flavor#	flavor+N+SG
news	new^s#	new+N+PL
obligations	obligation^s#	obligation+N+PL
military	military#	military+N+SG
program	program#	program+N+SG
spring	spring#	spring+N+SG
training	training#	training+N+SG
homers	homer^s#	homer+N+PL
runs	run^s#	run+N+PL
freshman	freshman#	freshman+N+SG
average	average#	average+N+SG
spring	spring#	spring+N+SG
squad	squad#	squad+N+SG
players	player^s#	player+N+PL
shortstop	shortstop#	shortstop+N+SG
league	league#	league+N+SG
afternoon	afternoon#	afternoon+N+SG
contract	contract#	contract+N+SG
spectator	spectator#	spectator+N+SG
loss	los^s#	los+N+PL
setback	setback#	setback+N+SG
row	row#	row+N+SG
pounds	pound^s#	pound+N+PL
pounds	pound^s#	pound+N+PL
weight	weight#	weight+N+SG
spring	spring#	spring+N+SG
pounds	pound^s#	pound+N+PL
camp	camp#	camp+N+SG
weeks	week^s#	week+N+PL
weight	weight#	weight+N+SG
weight	weight#	weight+N+SG
native	native#	native+N+SG
surprise	surprise#	surprise+N+SG
sensation	sensation#	sensation+N+SG
year	year#	year+N+SG
whiz	whiz#	whiz+N+SG
fielding	fielding#	fielding+N+SG
goal	goal#	goal+N+SG
job	job#	job+N+SG
glove	glove#	glove+N+SG
hitters	hitter^s#	hitter+N+PL
league	league#	league+N+SG
workout	workout#	workout+N+SG
opening	opening#	opening+N+SG
night	night#	night+N+SG
weekend	weekend#	weekend+N+SG
series	sery^s#	sery+N+PL
knuckleball	knuckleball#	knuckleball+N+SG
specialists	specialist^s#	specialist+N+PL
champions	champion^s#	champion+N+PL
contest	contest#	contest+N+SG
rookie	rookie#	rookie+N+SG
righthander	righthander#	righthander+N+SG
record	record#	record+N+SG
year	year#	year+N+SG
farm	farm#	farm+N+SG
club	club#	club+N+SG
pitchers	pitcher^s#	pitcher+N+PL
mound	mound#	mound+N+SG
chores	chore^s#	chore+N+PL
encounter	encounter#	encounter+N+SG
successor	successor#	successor+N+SG
helm	helm#	helm+N+SG
squad	squad#	squad+N+SG
crowds	crowd^s#	crowd+N+PL
weekend	weekend#	weekend+N+SG
games	game^s#	game+N+PL
coach	coach#	coach+N+SG
Pitcher	pitcher#	pitcher+N+SG
club	club#	club+N+SG
week	week#	week+N+SG
hitch	hitch#	hitch+N+SG
wintertime	wintertime#	wintertime+N+SG
course	course#	course+N+SG
southpaw	southpaw#	southpaw+N+SG
fall	fall#	fall+N+SG
contingent	contingent#	contingent+N+SG
coaches	coach^s#	coach+N+PL
unit	unit#	unit+N+SG
ride	ride#	ride+N+SG
sacker	sacker#	sacker+N+SG
bat	bat#	bat+N+SG
plate	plate#	plate+N+SG
double	double#	double+N+SG
wall	wall#	wall+N+SG
doubles	double^s#	double+N+PL
mood	mood#	mood+N+SG
game	game#	game+N+SG
time	time#	time+N+SG
wife	wife#	wife+N+SG
addition	addition#	addition+N+SG
family	family#	family+N+SG
summer	summer#	summer+N+SG
teammates	teammate^s#	teammate+N+PL
mood	mood#	mood+N+SG
pitching	pitching#	pitching+N+SG
rookie	rookie#	rookie+N+SG
hurlers	hurler^s#	hurler+N+PL
nightfall	nightfall#	nightfall+N+SG
hours	hour^s#	hour+N+PL
company	company#	company+N+SG
chairman	chairman#	chairman+N+SG
board	board#	board+N+SG
directors	director^s#	director+N+PL
flight	flight#	flight+N+SG
ramp	ramp#	ramp+N+SG
damage	damage#	damage+N+SG
wing	wing#	wing+N+SG
plane	plane#	plane+N+SG
expansion	expansion#	expansion+N+SG
someplace	someplace#	someplace+N+SG
victory	victory#	victory+N+SG
filly	filly#	filly+N+SG
colts	colt^s#	colt+N+PL
race	race#	race+N+SG
field	field#	field+N+SG
stages	stage^s#	stage+N+PL
top	top#	top+N+SG
speed	speed#	speed+N+SG
stretch	stretch#	stretch+N+SG
length	length#	length+N+SG
furlongs	furlong^s#	furlong+N+PL
lead	lead#	lead+N+SG
stages	stage^s#	stage+N+PL
wire	wire#	wire+N+SG
place	place#	place+N+SG
money	money#	money+N+SG
head	head#	head+N+SG
front	front#	front+N+SG
sun	sun#	sun+N+SG
wind	wind#	wind+N+SG
track	track#	track+N+SG
condition	condition#	condition+N+SG
time	time#	time+N+SG
week	week#	week+N+SG
celebrants	celebrant^s#	celebrant+N+PL
program	program#	program+N+SG
race	race#	race+N+SG
stewards	steward^s#	steward+N+PL
apprentice	apprentice#	apprentice+N+SG
days	day^s#	day+N+PL
horses	hors^s#	hors+N+PL
field	field#	field+N+SG
races	race^s#	race+N+PL
result	result#	result+N+SG
start	start#	start+N+SG
speed	speed#	speed+N+SG
reserve	reserve#	reserve+N+SG
allowance	allowance#	allowance+N+SG
department	department#	department+N+SG
event	event#	event+N+SG
meet	meet#	meet+N+SG
record	record#	record+N+SG
run	run#	run+N+SG
track	track#	track+N+SG
meet	meet#	meet+N+SG
duel	duel#	duel+N+SG
world	world#	world+N+SG
record	record#	record+N+SG
month	month#	month+N+SG
clocking	clocking#	clocking+N+SG
pace	pace#	pace+N+SG
king	king#	king+N+SG
yards	yard^s#	yard+N+PL
meet	meet#	meet+N+SG
mark	mark#	mark+N+SG
front	front#	front+N+SG
lead	lead#	lead+N+SG
thirds	third^s#	third+N+PL
race	race#	race+N+SG
graduate	graduate#	graduate+N+SG
student	student#	student+N+SG
straightaway	straightaway#	straightaway+N+SG
challenge	challenge#	challenge+N+SG
turn	turn#	turn+N+SG
crowd	crowd#	crowd+N+SG
meet	meet#	meet+N+SG
season	season#	season+N+SG
thrill	thrill#	thrill+N+SG
minutes	minute^s#	minute+N+PL
woman	woman#	woman+N+SG
world	world#	world+N+SG
record	record#	record+N+SG
run	run#	run+N+SG
housewife	housewife#	housewife+N+SG
children	children#	children+N+SG
tenths	tenth^s#	tenth+N+PL
second	second#	second+N+SG
mark	mark#	mark+N+SG
meet	meet#	meet+N+SG
relief	relief#	relief+N+SG
quarterback	quarterback#	quarterback+N+SG
knee	knee#	knee+N+SG
operation	operation#	operation+N+SG
knee	knee#	knee+N+SG
game	game#	game+N+SG
season	season#	season+N+SG
swelling	swelling#	swelling+N+SG
knee	knee#	knee+N+SG
team	team#	team+N+SG
physician	physician#	physician+N+SG
errors	error^s#	error+N+PL
shortstop	shortstop#	shortstop+N+SG
inning	inning#	inning+N+SG
runs	run^s#	run+N+PL
victory	victory#	victory+N+SG
halfback	halfback#	halfback+N+SG
plays	play^s#	play+N+PL
games	game^s#	game+N+PL
Time	time#	time+N+SG
time	time#	time+N+SG
veteran	veteran#	veteran+N+SG
field	field#	field+N+SG
clock	clock#	clock+N+SG
kick	kick#	kick+N+SG
fact	fact#	fact+N+SG
football	football#	football+N+SG
nose	nose#	nose+N+SG
guard	guard#	guard+N+SG
hip	hip#	hip+N+SG
pads	pad^s#	pad+N+PL
members	member^s#	member+N+PL
team	team#	team+N+SG
points	point^s#	point+N+PL
tries	try^s#	try+N+PL
string	string#	string+N+SG
conversions	conversion^s#	conversion+N+PL
season	season#	season+N+SG
night	night#	night+N+SG
slaughter	slaughter#	slaughter+N+SG
roster	roster#	roster+N+SG
halfback	halfback#	halfback+N+SG
position	position#	position+N+SG
team	team#	team+N+SG
coach	coach#	coach+N+SG
position	position#	position+N+SG
response	response#	response+N+SG
senior	senior#	senior+N+SG
year	year#	year+N+SG
halfback	halfback#	halfback+N+SG
season	season#	season+N+SG
game	game#	game+N+SG
year	year#	year+N+SG
coach	coach#	coach+N+SG
spring	spring#	spring+N+SG
training	training#	training+N+SG
games	game^s#	game+N+PL
year	year#	year+N+SG
muscle	muscle#	muscle+N+SG
thigh	thigh#	thigh+N+SG
leg	leg#	leg+N+SG
result	result#	result+N+SG
conversions	conversion^s#	conversion+N+PL
leg	leg#	leg+N+SG
result	result#	result+N+SG
field	field#	field+N+SG
goals	goal^s#	goal+N+PL
week	week#	week+N+SG
district	district#	district+N+SG
game	game#	game+N+SG
points	point^s#	point+N+PL
tries	try^s#	try+N+PL
years	year^s#	year+N+PL
school	school#	school+N+SG
row	row#	row+N+SG
time	time#	time+N+SG
playoff	playoff#	playoff+N+SG
game	game#	game+N+SG
playoff	playoff#	playoff+N+SG
games	game^s#	game+N+PL
years	year^s#	year+N+PL
freshman	freshman#	freshman+N+SG
football	football#	football+N+SG
efforts	effort^s#	effort+N+PL
knee	knee#	knee+N+SG
injury	injury#	injury+N+SG
season	season#	season+N+SG
operation	operation#	operation+N+SG
knee	knee#	knee+N+SG
minutes	minute^s#	minute+N+PL
record	record#	record+N+SG
year	year#	year+N+SG
game	game#	game+N+SG
ball	ball#	ball+N+SG
times	time^s#	time+N+PL
net	net#	net+N+SG
gain	gain#	gain+N+SG
yards	yard^s#	yard+N+PL
yards	yard^s#	yard+N+PL
pass	pas^s#	pas+N+PL
yards	yard^s#	yard+N+PL
years	year^s#	year+N+PL
season	season#	season+N+SG
Place	place#	place+N+SG
kicking	kicking#	kicking+N+SG
matter	matter#	matter+N+SG
feel	feel#	feel+N+SG
boys	boy^s#	boy+N+PL
feel	feel#	feel+N+SG
Practice	practice#	practice+N+SG
timing	timing#	timing+N+SG
kind	kind#	kind+N+SG
golf	golf#	golf+N+SG
club	club#	club+N+SG
timing	timing#	timing+N+SG
points	point^s#	point+N+PL
practice	practice#	practice+N+SG
session	session#	session+N+SG
leg	leg#	leg+N+SG
games	game^s#	game+N+PL
ball	ball#	ball+N+SG
times	time^s#	time+N+PL
times	time^s#	time+N+PL
cent	cent#	cent+N+SG
total	total#	total+N+SG
yardage	yardage#	yardage+N+SG
games	game^s#	game+N+PL
completions	completion^s#	completion+N+PL
attempts	attempt^s#	attempt+N+PL
yards	yard^s#	yard+N+PL
total	total#	total+N+SG
yardage	yardage#	yardage+N+SG
completions	completion^s#	completion+N+PL
tries	try^s#	try+N+PL
Tailback	tailback#	tailback+N+SG
total	total#	total+N+SG
sophomore	sophomore#	sophomore+N+SG
season	season#	season+N+SG
yards	yard^s#	yard+N+PL
yards	yard^s#	yard+N+PL
tries	try^s#	try+N+PL
games	game^s#	game+N+PL
appearance	appearance#	appearance+N+SG
season	season#	season+N+SG
game	game#	game+N+SG
plays	play^s#	play+N+PL
kickoff	kickoff#	kickoff+N+SG
yards	yard^s#	yard+N+PL
yards	yard^s#	yard+N+PL
line	line#	line+N+SG
touchdown	touchdown#	touchdown+N+SG
run	run#	run+N+SG
bench	bench#	bench+N+SG
Wingback	wingback#	wingback+N+SG
knee	knee#	knee+N+SG
game	game#	game+N+SG
week	week#	week+N+SG
feeling	feeling#	feeling+N+SG
SMU	smu#	smu+N+SG
staff	staff#	staff+N+SG
attention	attention#	attention+N+SG
victory	victory#	victory+N+SG
problem	problem#	problem+N+SG
week	week#	week+N+SG
players	player^s#	player+N+PL
victory	victory#	victory+N+SG
thing	thing#	thing+N+SG
game	game#	game+N+SG
kids	kid^s#	kid+N+PL
week	week#	week+N+SG
pressure	pressure#	pressure+N+SG
time	time#	time+N+SG
season	season#	season+N+SG
field	field#	field+N+SG
goal	goal#	goal+N+SG
Assistant	assistant#	assistant+N+SG
coach	coach#	coach+N+SG
victory	victory#	victory+N+SG
feeling	feeling#	feeling+N+SG
part	part#	part+N+SG
coaches	coach^s#	coach+N+PL
players	player^s#	player+N+PL
gratification	gratification#	gratification+N+SG
performances	performance^s#	performance+N+PL
end	end#	end+N+SG
halfback	halfback#	halfback+N+SG
jobs	job^s#	job+N+PL
game	game#	game+N+SG
football	football#	football+N+SG
interference	interference#	interference+N+SG
stops	stop^s#	stop+N+PL
lots	lot^s#	lot+N+PL
times	time^s#	time+N+PL
fumble	fumble#	fumble+N+SG
touchdown	touchdown#	touchdown+N+SG
boy	boy#	boy+N+SG
fullback	fullback#	fullback+N+SG
football	football#	football+N+SG
plays	play^s#	play+N+PL
thrusts	thrust^s#	thrust+N+PL
stages	stage^s#	stage+N+PL
screen	screen#	screen+N+SG
pass	pas^s#	pas+N+PL
pass	pas^s#	pas+N+PL
territory	territory#	territory+N+SG
boy	boy#	boy+N+SG
halfback	halfback#	halfback+N+SG
time	time#	time+N+SG
yard	yard#	yard+N+SG
loss	los^s#	los+N+PL
play	play#	play+N+SG
pass	pas^s#	pas+N+PL
quarterback	quarterback#	quarterback+N+SG
yards	yard^s#	yard+N+PL
way	way#	way+N+SG
sophomore	sophomore#	sophomore+N+SG
center	center#	center+N+SG
fullback	fullback#	fullback+N+SG
squad	squad#	squad+N+SG
game	game#	game+N+SG
action	action#	action+N+SG
week	week#	week+N+SG
side	side#	side+N+SG
end	end#	end+N+SG
play	play#	play+N+SG
game	game#	game+N+SG
ligament	ligament#	ligament+N+SG
damage	damage#	damage+N+SG
knee	knee#	knee+N+SG
knee	knee#	knee+N+SG
opener	opener#	opener+N+SG
lot	lot#	lot+N+SG
lot	lot#	lot+N+SG
week	week#	week+N+SG
game	game#	game+N+SG
players	player^s#	player+N+PL
film	film#	film+N+SG
minutes	minute^s#	minute+N+PL
reserves	reserve^s#	reserve+N+PL
minutes	minute^s#	minute+N+PL
scrimmage	scrimmage#	scrimmage+N+SG
hour	hour#	hour+N+SG
week	week#	week+N+SG
SMU	smu#	smu+N+SG
night	night#	night+N+SG
game	game#	game+N+SG
drill	drill#	drill+N+SG
tackle	tackle#	tackle+N+SG
treatment	treatment#	treatment+N+SG
leg	leg#	leg+N+SG
injury	injury#	injury+N+SG
loss	los^s#	los+N+PL
game	game#	game+N+SG
rain	rain#	rain+N+SG
mud	mud#	mud+N+SG
mud	mud#	mud+N+SG
End	end#	end+N+SG
hand	hand#	hand+N+SG
game	game#	game+N+SG
LSU	lsu#	lsu+N+SG
sophomore	sophomore#	sophomore+N+SG
guard	guard#	guard+N+SG
action	action#	action+N+SG
idleness	idlenes^s#	idlenes+N+PL
ankle	ankle#	ankle+N+SG
injury	injury#	injury+N+SG
day	day#	day+N+SG
gift	gift#	gift+N+SG
conference	conference#	conference+N+SG
victory	victory#	victory+N+SG
night	night#	night+N+SG
halfback	halfback#	halfback+N+SG
game	game#	game+N+SG
Halfback	halfback#	halfback+N+SG
month	month#	month+N+SG
ankle	ankle#	ankle+N+SG
workout	workout#	workout+N+SG
victory	victory#	victory+N+SG
starts	start^s#	start+N+PL
triumph	triumph#	triumph+N+SG
visit	visit#	visit+N+SG
road	road#	road+N+SG
games	game^s#	game+N+PL
folks	folk^s#	folk+N+PL
coach	coach#	coach+N+SG
men	men#	men+N+SG
kind	kind#	kind+N+SG
team	team#	team+N+SG
reckonings	reckoning^s#	reckoning+N+PL
coach	coach#	coach+N+SG
collectors	collector^s#	collector+N+PL
quarterbacks	quarterback^s#	quarterback+N+PL
pair	pair#	pair+N+SG
field	field#	field+N+SG
general	general#	general+N+SG
bench	bench#	bench+N+SG
debut	debut#	debut+N+SG
team	team#	team+N+SG
upset	upset#	upset+N+SG
victory	victory#	victory+N+SG
league	league#	league+N+SG
champions	champion^s#	champion+N+PL
luck	luck#	luck+N+SG
quarterback	quarterback#	quarterback+N+SG
problem	problem#	problem+N+SG
way	way#	way+N+SG
thing	thing#	thing+N+SG
unit	unit#	unit+N+SG
effort	effort#	effort+N+SG
fullbacking	fullbacking#	fullbacking+N+SG
star	star#	star+N+SG
knee	knee#	knee+N+SG
injury	injury#	injury+N+SG
line	line#	line+N+SG
linebackers	linebacker^s#	linebacker+N+PL
staff	staff#	staff+N+SG
movies	movy^s#	movy+N+PL
game	game#	game+N+SG
fact	fact#	fact+N+SG
unit	unit#	unit+N+SG
job	job#	job+N+SG
game	game#	game+N+SG
ball	ball#	ball+N+SG
control	control#	control+N+SG
passes	pass^s#	pass+N+PL
ball	ball#	ball+N+SG
attack	attack#	attack+N+SG
damage	damage#	damage+N+SG
couple	couple#	couple+N+SG
passes	pass^s#	pass+N+PL
touchdowns	touchdown^s#	touchdown+N+PL
trouble	trouble#	trouble+N+SG
strikes	strike^s#	strike+N+PL
period	period#	period+N+SG
lead	lead#	lead+N+SG
tactic	tactic#	tactic+N+SG
ball	ball#	ball+N+SG
halfback	halfback#	halfback+N+SG
times	time^s#	time+N+PL
yards	yard^s#	yard+N+PL
break	break#	break+N+SG
kickoff	kickoff#	kickoff+N+SG
ball	ball#	ball+N+SG
halfback	halfback#	halfback+N+SG
touchdown	touchdown#	touchdown+N+SG
ball	ball#	ball+N+SG
play	play#	play+N+SG
book	book#	book+N+SG
football	football#	football+N+SG
leaders	leader^s#	leader+N+PL
dent	dent#	dent+N+SG
statistics	statistic^s#	statistic+N+PL
week	week#	week+N+SG
spree	spree#	spree+N+SG
total	total#	total+N+SG
offense	offense#	offense+N+SG
yards	yard^s#	yard+N+PL
SWC	swc#	swc+N+SG
high	high#	high+N+SG
yards	yard^s#	yard+N+PL
yards	yard^s#	yard+N+PL
completions	completion^s#	completion+N+PL
tosses	toss^s#	toss+N+PL
defense	defense#	defense+N+SG
TCU	tcu#	tcu+N+SG
bulge	bulge#	bulge+N+SG
total	total#	total+N+SG
loop	loop#	loop+N+SG
play	play#	play+N+SG
passes	pass^s#	pass+N+PL
yards	yard^s#	yard+N+PL
total	total#	total+N+SG
offense	offense#	offense+N+SG
yards	yard^s#	yard+N+PL
averages	average^s#	average+N+PL
yards	yard^s#	yard+N+PL
record	record#	record+N+SG
yards	yard^s#	yard+N+PL
game	game#	game+N+SG
defense	defense#	defense+N+SG
passes	pass^s#	pass+N+PL
yards	yard^s#	yard+N+PL
game	game#	game+N+SG
checks	check^s#	check+N+PL
liveliness	livelines^s#	livelines+N+PL
baseballs	baseball^s#	baseball+N+PL
use	use#	use+N+SG
leagues	league^s#	league+N+PL
tests	test^s#	test+N+PL
progress	progres^s#	progres+N+PL
pinpoint	pinpoint#	pinpoint+N+SG
pitching	pitching#	pitching+N+SG
night	night#	night+N+SG
lefthander	lefthander#	lefthander+N+SG
command	command#	command+N+SG
way	way#	way+N+SG
audience	audience#	audience+N+SG
television	television#	television+N+SG
viewers	viewer^s#	viewer+N+PL
area	area#	area+N+SG
victory	victory#	victory+N+SG
season	season#	season+N+SG
streak	streak#	streak+N+SG
game	game#	game+N+SG
top	top#	top+N+SG
pack	pack#	pack+N+SG
inning	inning#	inning+N+SG
pass	pas^s#	pas+N+PL
innings	inning^s#	inning+N+PL
characteristic	characteristic#	characteristic+N+SG
southpaw	southpaw#	southpaw+N+SG
lead	lead#	lead+N+SG
inning	inning#	inning+N+SG
opener	opener#	opener+N+SG
doubles	double^s#	double+N+PL
attack	attack#	attack+N+SG
line	line#	line+N+SG
drive	drive#	drive+N+SG
base	base#	base+N+SG
balls	ball^s#	ball+N+PL
bases	bas^s#	bas+N+PL
smash	smash#	smash+N+SG
putout	putout#	putout+N+SG
double	double#	double+N+SG
leftfield	leftfield#	leftfield+N+SG
corner	corner#	corner+N+SG
rightfield	rightfield#	rightfield+N+SG
line	line#	line+N+SG
glove	glove#	glove+N+SG
hits	hit^s#	hit+N+PL
runs	run^s#	run+N+PL
rightfield	rightfield#	rightfield+N+SG
corner	corner#	corner+N+SG
infield	infield#	infield+N+SG
roller	roller#	roller+N+SG
tallies	tally^s#	tally+N+PL
run	run#	run+N+SG
double	double#	double+N+SG
outfield	outfield#	outfield+N+SG
flies	fly^s#	fly+N+PL
ball	ball#	ball+N+SG
fence	fence#	fence+N+SG
run	run#	run+N+SG
weather	weather#	weather+N+SG
game	game#	game+N+SG
thanks	thank^s#	thank+N+PL
bases	bas^s#	bas+N+PL
balls	ball^s#	ball+N+PL
infield	infield#	infield+N+SG
play	play#	play+N+SG
play	play#	play+N+SG
grounder	grounder#	grounder+N+SG
hole	hole#	hole+N+SG
stops	stop^s#	stop+N+PL
arm	arm#	arm+N+SG
base	base#	base+N+SG
hits	hit^s#	hit+N+PL
night	night#	night+N+SG
game	game#	game+N+SG
refocusing	refocusing#	refocusing+N+SG
lights	light^s#	light+N+PL
order	order#	order+N+SG
infield	infield#	infield+N+SG
outfield	outfield#	outfield+N+SG
organ	organ#	organ+N+SG
spectators	spectator^s#	spectator+N+PL
dancer	dancer#	dancer+N+SG
stage	stage#	stage+N+SG
rookie	rookie#	rookie+N+SG
mound	mound#	mound+N+SG
veteran	veteran#	veteran+N+SG
night	night#	night+N+SG
side	side#	side+N+SG
injury	injury#	injury+N+SG
turn	turn#	turn+N+SG
lightweight	lightweight#	lightweight+N+SG
trouble	trouble#	trouble+N+SG
decision	decision#	decision+N+SG
night	night#	night+N+SG
line	line#	line+N+SG
double	double#	double+N+SG
field	field#	field+N+SG
run	run#	run+N+SG
last	last#	last+N+SG
victory	victory#	victory+N+SG
single	single#	single+N+SG
game	game#	game+N+SG
liner	liner#	liner+N+SG
center	center#	center+N+SG
way	way#	way+N+SG
hit	hit#	hit+N+SG
fans	fan^s#	fan+N+PL
run	run#	run+N+SG
game	game#	game+N+SG
ones	one^s#	one+N+PL
year	year#	year+N+SG
loss	los^s#	los+N+PL
victories	victory^s#	victory+N+PL
game	game#	game+N+SG
loss	los^s#	los+N+PL
score	score#	score+N+SG
inning	inning#	inning+N+SG
chopper	chopper#	chopper+N+SG
base	base#	base+N+SG
double	double#	double+N+SG
lead	lead#	lead+N+SG
top	top#	top+N+SG
pair	pair#	pair+N+SG
pop	pop#	pop+N+SG
fly	fly#	fly+N+SG
hits	hit^s#	hit+N+PL
triple	triple#	triple+N+SG
single	single#	single+N+SG
walk	walk#	walk+N+SG
sacrifice	sacrifice#	sacrifice+N+SG
fly	fly#	fly+N+SG
home	home#	home+N+SG
run	run#	run+N+SG
inning	inning#	inning+N+SG
lead	lead#	lead+N+SG
